word,definition,English translation,lesson,tags
fière,,proud (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
finalement,,finally,Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Adverbes et locutions de temps;adverb
finir (de),,to finish (doing),Leçon_11A; Leçon_4B,Espaces;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;verb;Unité_4;Leçon_4B;Au café;Verbes réguliers en -ir
folle,,crazy (f.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
fonctionner,,"to work, to function",Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L’électronique;verb
fort ,,strong (m.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs descriptifs;adjective
forte,,strong (f.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs descriptifs;adjective
fou,,crazy (m.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
français,,French (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
française,,French (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
France,,France ,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;noun
franchement,,"frankly, honestly",Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Adverbs;adverb
freiner,,to brake,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture;verb
fréquenter,,to frequent; to visit,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Activités;verb
frisé,,curly (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
frisée,,curly (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
fumer,,to smoke,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;verb
gagner,,to earn; to win,Leçon_13B; Leçon_5A,Espaces;Unité_13;Leçon_13B;L'avenir et les métiers;Au travail;verb;Unité_5;Leçon_5A;Les loisirs;Activités sportives et loisirs
garder la ligne,,to stay slim,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;La forme;phrase
gaspiller,,to waste,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;verb
généreuse,,generous (f.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
généreux,,generous (m.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
génial,,great (m.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs descriptifs;adjective
géniale,,great (f.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs descriptifs;adjective
géniaux,,great (pl.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs descriptifs;adjective
genoux,,knees,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Le corps;noun
gentil,,nice (m.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
gentille,,nice (f.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
gentiment,,nicely,Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Adverbs;adverb
goûter,,to taste,Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;Les repas;verb
grand ,,big; tall (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
grande,,big; tall (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
grandir,,to grow,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;Verbes réguliers en -ir;verb
gratuit,,free (m.),Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Aller au spectacle;adjective
gratuite,,free (f.),Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Aller au spectacle;adjective
grave,,serious,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;adjective
graver,,"to record, to burn (a CD)",Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L'ordinateur;verb
gris,,gray (m.),Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les couleurs;adjective
grise,,gray (f.),Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les couleurs;adjective
gros,,fat (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
grosse,,fat (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
grossir,,to gain weight,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;Verbes réguliers en -ir;verb
guérir,,to get better,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;verb
habiter à,,to live in,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Verbes;verb
habiter en,,to live in,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Verbes;verb
hésiter à,,to hesitate,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;phrase
heureuse,,happy (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
heureusement,,fortunately,Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Adverbs;adverb
heureux,,happy (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
hier,,yesterday,Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Périodes de la vie;adverb
huit,,eight,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Numbers 0-60;adjective
huit cents,,eight hundred,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Numbers 101 and higher;adjective
huit millions,,eight million,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Numbers 101 and higher;adjective
ici,,here,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Identifier;adverb
il,,he/it ,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Subject pronouns;pronoun
Il est bon que...,,It is good that...,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Expressions impersonnelles;phrase
Il est certain que...,,It is certain that…,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Expressions de doute et de certitude;phrase
Il est clair que...,,It is clear that…,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Expressions de doute et de certitude;phrase
Il est dommage que...,,It is a shame that...,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Expressions impersonnelles;phrase
Il est douteux que...,,It is doubtful that…,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Expressions de doute et de certitude;phrase
Il est essentiel que...,,It is essential that…,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Expressions impersonnelles;phrase
Il est évident que...,,It is obvious that…,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Expressions de doute et de certitude;phrase
Il est important que...,,It is important that…,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Expressions impersonnelles;phrase
Il est impossible que…,,It is impossible that…,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Expressions de doute et de certitude;phrase
Il est indispensable que…,,It is essential that…,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Expressions impersonnelles;phrase
Il est nécessaire que…,,It is necessary that…,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Expressions impersonnelles;phrase
Il est possible que...,,It is possible that...,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Expressions impersonnelles;phrase
Il est sûr que...,,It is sure that…,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Expressions de doute et de certitude;phrase
Il est vrai que...,,It is true that…,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Expressions de doute et de certitude;phrase
Il fait (du) soleil.,,It is sunny.,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il fait 18 degrés.,,It is 18 degrees.,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il fait beau.,,The weather is nice.,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il fait bon.,,The weather is good/warm.,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il fait chaud.,,It is hot (out).,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il fait du vent.,,It is windy.,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il fait frais.,,It is cool.,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il fait froid.,,It is cold.,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il fait mauvais.,,The weather is bad.,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il fait un temps épouvantable.,,The weather is dreadful. ,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il faut (que)…,,"One must…, It is necessary to/that…",Leçon_14A; Leçon_5A,Espaces;Unité_14;Leçon_14A;L'espace vert;Expressions impersonnelles;phrase;Unité_5;Leçon_5A;Les loisirs;Il faut…
Il n’est pas certain que…,,It is uncertain that…,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Expressions de doute et de certitude;phrase
Il n’est pas sûr que...,,It is not sure that…,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Expressions de doute et de certitude;phrase
Il n’est pas vrai que...,,It is untrue that…,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Expressions de doute et de certitude;phrase
Il n’y a pas de quoi.,,You’re welcome.,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Expressions de la politesse;phrase
Il neige.,,It is snowing.,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il pleut.,,It is raining.,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
Il vaut mieux que...,,It is better that…,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Expressions impersonnelles;phrase
il y a [+ time],,ago,Leçon_9A,Espaces;Unité_9;Leçon_9A;La nourriture;Autres mots et locutions;adverb
Il y a…,,There is/are…,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Identifier;phrase
ils,,they (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Subject pronouns;pronoun
impatient,,impatient (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
impatiente,,impatient (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
important,,important (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
importante,,important (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
imprimer,,to print,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L'ordinateur;verb
indépendant,,independent (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
indépendante,,independent (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
indiquer,,to indicate,Leçon_5A,Espaces;Unité_5;Leçon_5A;Les loisirs;Activités sportives et loisirs;verb
inquiet,,worried (m.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
inquiète,,worried (f.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
intellectuel,,intellectual (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
intellectuelle,,intellectual (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
intelligent,,intelligent (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
intelligente,,intelligent (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
interdire,,"to forbid, to prohibit",Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Les lois et les règlements;verb
intéressant,,interesting (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
intéressante,,interesting (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
inutile,,useless,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Adjectifs et adverbes;adjective
inviter,,to invite,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Activités;verb
irlandais,,Irish (m.),Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;adjective
irlandaise,,Irish (f.),Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;adjective
Irlande,,Ireland ,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;noun
Italie,,Italy ,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;noun
italien,,Italian (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
italienne,,Italian (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
J’adore…,,I love...,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Vocabulaire supplémentaire;phrase
J’aime bien...,,I like…,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Vocabulaire supplémentaire;phrase
jalouse,,jealous (f.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
jaloux,,jealous (m.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
jamais,,never; ever,Leçon_12A; Leçon_5A,Espaces;Unité_12;Leçon_12A;En ville;La négation;adverb;Unité_5;Leçon_5A;Les loisirs;La fréquence
janvier,,January,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;noun"
Japon,,Japan ,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;noun
japonais,,Japanese (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
japonaise,,Japanese (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
jaune,,yellow,Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les couleurs;adjective
je,,I,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Subject pronouns;pronoun
Je déteste…,,I hate…,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Vocabulaire supplémentaire;phrase
Je m’appelle…,,My name is…,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Les présentations;phrase
Je n’aime pas tellement…,,I don’t like... very much.,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Vocabulaire supplémentaire;phrase
Je te présente…,,I would like to introduce (name) to you. (fam.),Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Les présentations;phrase
Je t'en prie.,,You’re welcome.; It's nothing. (fam.),Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Expressions de la politesse;phrase
Je vais bien.,,I am doing well.,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Comment ça va?;phrase
Je vais mal.,,I am doing badly.,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Comment ça va?;phrase
Je vous en prie.,,You’re welcome.; It's nothing. (form.),Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Expressions de la politesse;phrase
Je vous présente…,,I would like to introduce (name) to you. (form.),Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Les présentations;phrase
jeter,,to throw away,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;verb
jeudi,,Thursday,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;noun
jeune,,young,Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
jeux vidéo,,video games,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L'ordinateur;noun
joli ,,pretty (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
jolie,,pretty (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
jouer à,,to play,Leçon_5A,Espaces;Unité_5;Leçon_5A;Les loisirs;Activités sportives et loisirs;phrase
jouer de,,to play,Leçon_5A,Espaces;Unité_5;Leçon_5A;Les loisirs;Activités sportives et loisirs;phrase
jouer de la batterie,,to play the drums,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Les artistes;phrase
jouer de la guitare,,to play the guitar,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Les artistes;phrase
jouer du piano,,to play the piano,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Les artistes;phrase
jouer du violon,,to play the violin,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Les artistes;phrase
jouer un rôle,,to play a role,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Les artistes;phrase
juillet,,July,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;noun"
juin ,,June,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;noun"
jusqu’à,,until,Leçon_12B,Espaces;Unité_12;Leçon_12B;En ville;Pour donner des indications;adverb
jusqu’à ce que...,,until…,Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;Conjonctions suivies du subjonctif;phrase
l’addition,,"check, bill ",Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;noun
l’adolescence,,adolescence ,Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Périodes de la vie;noun
l’âge adulte,,adulthood ,Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Périodes de la vie;noun
l’ail,,garlic ,Leçon_9A,Espaces;Unité_9;Leçon_9A;La nourriture;Les légumes;noun
l’Allemagne,,in Germany,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;phrase
l’appareil ,,telephone,Leçon_13A,Espaces;Unité_13;Leçon_13A;L'avenir et les métiers;Au téléphone;noun
l’architecture,,architecture,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
l’art,,art,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
l’automne,,fall,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;noun"
l’école,,school,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
l’écologie,,ecology ,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
l’économie,,economics,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
l’écotourisme,,ecotourism ,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
l’éducation physique,,physical education,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
l’effet de serre,,greenhouse effect ,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
l’embrayage,,clutch,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture;noun
l’énergie nucléaire,,nuclear energy ,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
l’énergie solaire,,solar energy ,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
l’enfance,,childhood ,Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Périodes de la vie;noun
l’environnement,,environment ,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
l’essence,,gas,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture;noun
l’état civil,,marital status ,Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Périodes de la vie;noun
l’été,,summer ,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;noun"
l’extinction,,extinction ,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
l’herbe,,grass ,Leçon_14B,Espaces;Unité_14;Leçon_14B;L'espace vert;La nature;noun
l’histoire,,history,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
l’hiver,,winter ,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;noun"
l’huile ,,oil ,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture
l’huile d’olive,,olive oil ,Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;À table!;noun
l’informatique,,computer science,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
là,,there  ,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Identifier;adverb
la Belgique,,in Belgium,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;phrase
la biologie,,biology,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
la bouche,,mouth,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Le corps;noun
la campagne,,country(side),Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Partir en voyage;noun
la chasse,,hunt,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
la chimie,,chemistry,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
la Chine,,in China,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;phrase
la circulation,,traffic,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture;noun
la confiture,,jam,Leçon_9A,Espaces;Unité_9;Leçon_9A;La nourriture;Autres aliments;noun
la crème,,cream,Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;À table!;noun
la crème à raser,,shaving cream,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Dans la salle de bains;noun
la fin,,end,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Aller au spectacle;noun
la France,,in France,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;phrase
la géographie,,geography,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
la gestion,,business administration,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
la glace,,ice cream,Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;noun
la gorge,,throat,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Le corps;noun
la grippe,,flu ,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;noun
la jeunesse,,youth,Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Périodes de la vie;noun
la jungle,,jungle,Leçon_14B,Espaces;Unité_14;Leçon_14B;L'espace vert;La nature;noun
la leur,,theirs (f. sing.),Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Possessive pronouns;pronoun
la limitation de vitesse,,speed limit,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture;noun
la littérature,,literature,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Le campus;noun
la Lune,,moon ,Leçon_14B,Espaces;Unité_14;Leçon_14B;L'espace vert;La nature;noun
la matinée,,morning,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;noun
la mayonnaise,,mayonnaise,Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;À table!;noun
la meilleure,,best (f. sing.),Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;Comparatives and superlatives;adjective
la mer,,sea,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les vacances;noun
la messagerie,,voicemail,Leçon_13A,Espaces;Unité_13;Leçon_13A;L'avenir et les métiers;Au téléphone;noun
la météo,,weather,Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;Le cinéma et la télévision;noun
la mienne,,mine (f. sing.),Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Possessive pronouns;pronoun
la mort,,death,Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Périodes de la vie;noun
la moutarde,,mustard,Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;À table!;noun
la naissance,,birth ,Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Périodes de la vie;noun
la nature,,nature,Leçon_14B,Espaces;Unité_14;Leçon_14B;L'espace vert;La nature;noun
la nôtre,,ours (f. sing.),Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Possessive pronouns;pronoun
la nourriture,,"food, sustenance",Leçon_9A,Espaces;Unité_9;Leçon_9A;La nourriture;Autres aliments;noun
la peau,,skin,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Le corps;noun
la philosophie,,philosophy,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
la physique,,physics,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
la pire,,worst (f. sing.),Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;Comparatives and superlatives;adjective
la pluie acide,,acid rain,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
la plus mauvaise,,worst (f. sing.),Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;Comparatives and superlatives;adjective
la poitrine,,chest,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Le corps;noun
la pollution,,pollution  ,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
la préservation,,protection,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
la protection,,protection,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
la psychologie,,psychology,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;L'université;noun
la réception,,reception desk,Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Faire une réservation;noun
la sienne,,hers/its (sing.),Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Possessive pronouns;pronoun
la sociologie,,sociology,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Le campus;noun
la Suisse,,in Switzerland,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;phrase
la surpopulation,,overpopulation,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;noun
la taille,,waist,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Le corps;noun
la télévision ,,television,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Le campus;noun
la tête,,head,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Le corps;noun
la tienne,,yours (f. fam. sing.),Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Possessive pronouns;pronoun
